cmdline,connections,cpu_affinity,cpu_percent,cpu_times,create_time,cwd,environ,exe,ionice,memory_full_info,memory_info,memory_maps,memory_percent,name,nice,num_ctx_switches,num_handles,num_threads,open_files,pid,ppid,status,threads,username,_errors
[],"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.146', port=50164), raddr=addr(ip='23.77.48.95', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.146', port=50165), raddr=addr(ip='23.77.48.95', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.146', port=50166), raddr=addr(ip='104.85.192.18', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.146', port=50163), raddr=addr(ip='23.77.52.189', port=80), status='TIME_WAIT')]",,0.0,"pcputimes(user=0.0, system=3176.15625, children_user=0.0, children_system=0.0)",1584951473.0,,{},,,,"pmem(rss=4096, vms=0, num_page_faults=1, peak_wset=4096, wset=4096, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=0, peak_pagefile=0, private=0)",,9.537934750988369e-05,System Idle Process,,"pctxsw(voluntary=1070741, involuntary=0)",0,2,[],0,0,running,,NT AUTHORITY\SYSTEM,[]
[],"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.146', port=138), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.146', port=137), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.146', port=139), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=445), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=445), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=48.484375, children_user=0.0, children_system=0.0)",1584951473.0,,{},,,,"pmem(rss=581632, vms=114688, num_page_faults=20080, peak_wset=1748992, wset=581632, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=114688, peak_pagefile=282624, private=114688)",,0.013543867346403482,System,,"pctxsw(voluntary=472603, involuntary=0)",805,90,[],4,0,running,[],NT AUTHORITY\SYSTEM,[]
,[],,0.0,"pcputimes(user=2.921875, system=4.375, children_user=0.0, children_system=0.0)",1584953425.0,,,,,,"pmem(rss=18374656, vms=17133568, num_page_faults=6100, peak_wset=22683648, wset=18374656, peak_paged_pool=180016, paged_pool=177304, peak_nonpaged_pool=32688, nonpaged_pool=29616, pagefile=17133568, peak_pagefile=21311488, private=17133568)",,0.4278717529293382,taskhost.exe,,"pctxsw(voluntary=185, involuntary=0)",234,6,,124,808,running,[],,[]
,[],,0.0,"pcputimes(user=0.0, system=0.203125, children_user=0.0, children_system=0.0)",1583635729.0,,,,,,"pmem(rss=987136, vms=282624, num_page_faults=561, peak_wset=1028096, wset=987136, peak_paged_pool=55624, paged_pool=12416, peak_nonpaged_pool=6576, nonpaged_pool=2480, pagefile=282624, peak_pagefile=368640, private=282624)",,0.02298642274988197,smss.exe,,"pctxsw(voluntary=702, involuntary=0)",44,2,,244,4,running,[],,[]
,[],,0.0,"pcputimes(user=0.375, system=0.59375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=4091904, vms=1851392, num_page_faults=1825, peak_wset=4120576, wset=4091904, peak_paged_pool=151568, paged_pool=147984, peak_nonpaged_pool=15712, nonpaged_pool=14400, pagefile=1851392, peak_pagefile=1851392, private=1851392)",,0.0952839681623738,csrss.exe,,"pctxsw(voluntary=4668, involuntary=0)",408,9,,344,332,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49152), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49152), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=0.125, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=3715072, vms=790528, num_page_faults=1304, peak_wset=3756032, wset=3715072, peak_paged_pool=98688, paged_pool=97136, peak_nonpaged_pool=9584, nonpaged_pool=7792, pagefile=790528, peak_pagefile=1024000, private=790528)",,0.08650906819146449,wininit.exe,,"pctxsw(voluntary=371, involuntary=0)",73,1,,396,332,running,[],,[]
,[],,0.0,"pcputimes(user=0.265625, system=5.734375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=12103680, vms=1998848, num_page_faults=43694, peak_wset=32493568, wset=12103680, peak_paged_pool=175176, paged_pool=148280, peak_nonpaged_pool=25488, nonpaged_pool=21360, pagefile=1998848, peak_pagefile=5320704, private=1998848)",,0.2818459718917063,csrss.exe,,"pctxsw(voluntary=139240, involuntary=0)",271,10,,404,388,running,[],,[]
,[],,0.0,"pcputimes(user=0.015625, system=0.359375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=8175616, vms=1662976, num_page_faults=4938, peak_wset=11018240, wset=8175616, peak_paged_pool=127480, paged_pool=120376, peak_nonpaged_pool=12544, nonpaged_pool=7776, pagefile=1662976, peak_pagefile=3010560, private=1662976)",,0.19037717762972783,winlogon.exe,,"pctxsw(voluntary=636, involuntary=0)",154,2,,456,388,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49157), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49157), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.34375, system=0.71875, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=5640192, vms=2551808, num_page_faults=3018, peak_wset=5697536, wset=5640192, peak_paged_pool=93816, paged_pool=92696, peak_nonpaged_pool=13328, nonpaged_pool=9712, pagefile=2551808, peak_pagefile=2584576, private=2551808)",,0.13133736152110984,services.exe,,"pctxsw(voluntary=2344, involuntary=0)",218,5,,488,396,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49158), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49158), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=6.578125, system=1.4375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=13557760, vms=6991872, num_page_faults=7394, peak_wset=13987840, wset=13557760, peak_paged_pool=93392, paged_pool=93296, peak_nonpaged_pool=21568, nonpaged_pool=19072, pagefile=6991872, peak_pagefile=7454720, private=6991872)",,0.315705640257715,lsass.exe,,"pctxsw(voluntary=13246, involuntary=0)",861,6,,496,396,running,[],,[]
