cmdline,connections,cpu_affinity,cpu_percent,cpu_times,create_time,cwd,environ,exe,ionice,memory_full_info,memory_info,memory_maps,memory_percent,name,nice,num_ctx_switches,num_handles,num_threads,open_files,pid,ppid,status,threads,username,_errors
[],[],,0.0,"pcputimes(user=0.0, system=1862.34375, children_user=0.0, children_system=0.0)",1585010565.0,,{},,,,"pmem(rss=4096, vms=0, num_page_faults=1, peak_wset=4096, wset=4096, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=0, peak_pagefile=0, private=0)",,9.537934750988369e-05,System Idle Process,,"pctxsw(voluntary=558987, involuntary=0)",0,2,[],0,0,running,,NT AUTHORITY\SYSTEM,[]
[],"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.174', port=137), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.174', port=138), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=445), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=445), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.174', port=139), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=34.59375, children_user=0.0, children_system=0.0)",1585010565.0,,{},,,,"pmem(rss=618496, vms=114688, num_page_faults=20089, peak_wset=1748992, wset=618496, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=114688, peak_pagefile=282624, private=114688)",,0.014402281473992437,System,,"pctxsw(voluntary=261204, involuntary=0)",774,96,[],4,0,running,[],NT AUTHORITY\SYSTEM,[]
,[],,0.0,"pcputimes(user=0.0, system=0.203125, children_user=0.0, children_system=0.0)",1583635729.0,,,,,,"pmem(rss=987136, vms=282624, num_page_faults=561, peak_wset=1028096, wset=987136, peak_paged_pool=55624, paged_pool=12416, peak_nonpaged_pool=6576, nonpaged_pool=2480, pagefile=282624, peak_pagefile=368640, private=282624)",,0.02298642274988197,smss.exe,,"pctxsw(voluntary=702, involuntary=0)",44,2,,244,4,running,[],,[]
,[],,0.0,"pcputimes(user=0.28125, system=0.4375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=4083712, vms=1937408, num_page_faults=1828, peak_wset=4173824, wset=4083712, peak_paged_pool=153600, paged_pool=148096, peak_nonpaged_pool=15712, nonpaged_pool=14272, pagefile=1937408, peak_pagefile=1957888, private=1937408)",,0.09509320946735403,csrss.exe,,"pctxsw(voluntary=4183, involuntary=0)",410,10,,344,332,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49152), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49152), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=0.125, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=3715072, vms=790528, num_page_faults=1304, peak_wset=3756032, wset=3715072, peak_paged_pool=98688, paged_pool=97136, peak_nonpaged_pool=9584, nonpaged_pool=7792, pagefile=790528, peak_pagefile=1024000, private=790528)",,0.08650906819146449,wininit.exe,,"pctxsw(voluntary=371, involuntary=0)",73,1,,396,332,running,[],,[]
,[],,0.0,"pcputimes(user=0.3125, system=3.984375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=10469376, vms=1957888, num_page_faults=31924, peak_wset=25194496, wset=10469376, peak_paged_pool=147344, paged_pool=135208, peak_nonpaged_pool=18192, nonpaged_pool=17264, pagefile=1957888, peak_pagefile=5394432, private=1957888)",,0.2437896122352627,csrss.exe,,"pctxsw(voluntary=73255, involuntary=0)",245,11,,404,388,running,[],,[]
,[],,0.0,"pcputimes(user=0.015625, system=0.359375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=8175616, vms=1662976, num_page_faults=4936, peak_wset=11018240, wset=8175616, peak_paged_pool=127480, paged_pool=120376, peak_nonpaged_pool=12544, nonpaged_pool=7776, pagefile=1662976, peak_pagefile=3010560, private=1662976)",,0.19037717762972783,winlogon.exe,,"pctxsw(voluntary=636, involuntary=0)",154,2,,456,388,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49157), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49157), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.703125, system=1.890625, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=6033408, vms=3325952, num_page_faults=3873, peak_wset=6111232, wset=6033408, peak_paged_pool=113360, paged_pool=100984, peak_nonpaged_pool=16144, nonpaged_pool=13040, pagefile=3325952, peak_pagefile=3457024, private=3325952)",,0.14049377888205866,services.exe,,"pctxsw(voluntary=21595, involuntary=0)",254,17,,488,396,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49158), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49158), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=2.578125, system=0.734375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=11866112, vms=5353472, num_page_faults=4444, peak_wset=12156928, wset=11866112, peak_paged_pool=93296, paged_pool=93216, peak_nonpaged_pool=21568, nonpaged_pool=19328, pagefile=5353472, peak_pagefile=5754880, private=5353472)",,0.27631396973613304,lsass.exe,,"pctxsw(voluntary=13964, involuntary=0)",811,6,,496,396,running,[],,[]
,[],,0.0,"pcputimes(user=0.265625, system=0.390625, children_user=0.0, children_system=0.0)",1583635734.0,,,,,,"pmem(rss=11616256, vms=4562944, num_page_faults=5228, peak_wset=11673600, wset=11616256, peak_paged_pool=210328, paged_pool=206968, peak_nonpaged_pool=18208, nonpaged_pool=15792, pagefile=4562944, peak_pagefile=5976064, private=4562944)",,0.27049582953803014,svchost.exe,,"pctxsw(voluntary=4095, involuntary=0)",402,12,,560,488,running,[],,[]
