cmdline,connections,cpu_affinity,cpu_percent,cpu_times,create_time,cwd,environ,exe,ionice,memory_full_info,memory_info,memory_maps,memory_percent,name,nice,num_ctx_switches,num_handles,num_threads,open_files,pid,ppid,status,threads,username,_errors
[],"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.189', port=49508), raddr=addr(ip='172.217.161.142', port=443), status='TIME_WAIT')]",,0.0,"pcputimes(user=0.0, system=2485.46875, children_user=0.0, children_system=0.0)",1585035842.0,,{},,,,"pmem(rss=4096, vms=0, num_page_faults=1, peak_wset=4096, wset=4096, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=0, peak_pagefile=0, private=0)",,9.537934750988369e-05,System Idle Process,,"pctxsw(voluntary=761468, involuntary=0)",0,2,[],0,0,running,,NT AUTHORITY\SYSTEM,[]
[],"[pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=445), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.189', port=139), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.189', port=138), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.189', port=137), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=445), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=39.828125, children_user=0.0, children_system=0.0)",1585035842.0,,{},,,,"pmem(rss=557056, vms=114688, num_page_faults=20074, peak_wset=1748992, wset=557056, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=114688, peak_pagefile=282624, private=114688)",,0.012971591261344182,System,,"pctxsw(voluntary=340058, involuntary=0)",807,90,[],4,0,running,[],NT AUTHORITY\SYSTEM,[]
,[],,0.0,"pcputimes(user=0.0, system=0.203125, children_user=0.0, children_system=0.0)",1583635729.0,,,,,,"pmem(rss=987136, vms=282624, num_page_faults=561, peak_wset=1028096, wset=987136, peak_paged_pool=55624, paged_pool=12416, peak_nonpaged_pool=6576, nonpaged_pool=2480, pagefile=282624, peak_pagefile=368640, private=282624)",,0.02298642274988197,smss.exe,,"pctxsw(voluntary=702, involuntary=0)",44,2,,244,4,running,[],,[]
,[],,0.0,"pcputimes(user=0.046875, system=0.03125, children_user=0.0, children_system=0.0)",1585037265.0,,,,,,"pmem(rss=4870144, vms=1425408, num_page_faults=1289, peak_wset=4947968, wset=4870144, peak_paged_pool=63624, paged_pool=60264, peak_nonpaged_pool=7280, nonpaged_pool=7024, pagefile=1425408, peak_pagefile=1556480, private=1425408)",,0.11340604418925171,taskhostex.exe,,"pctxsw(voluntary=1852, involuntary=0)",78,3,,308,808,running,[],,[]
,[],,0.0,"pcputimes(user=0.34375, system=0.5, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=4161536, vms=1896448, num_page_faults=1828, peak_wset=4165632, wset=4161536, peak_paged_pool=151568, paged_pool=151440, peak_nonpaged_pool=15712, nonpaged_pool=15168, pagefile=1896448, peak_pagefile=1896448, private=1896448)",,0.09690541707004183,csrss.exe,,"pctxsw(voluntary=4128, involuntary=0)",434,9,,344,332,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49152), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49152), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=0.125, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=3715072, vms=790528, num_page_faults=1304, peak_wset=3756032, wset=3715072, peak_paged_pool=98688, paged_pool=97136, peak_nonpaged_pool=9584, nonpaged_pool=7792, pagefile=790528, peak_pagefile=1024000, private=790528)",,0.08650906819146449,wininit.exe,,"pctxsw(voluntary=371, involuntary=0)",73,1,,396,332,running,[],,[]
,[],,0.0,"pcputimes(user=0.265625, system=4.5625, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=9445376, vms=2056192, num_page_faults=31832, peak_wset=24866816, wset=9445376, peak_paged_pool=146376, paged_pool=142512, peak_nonpaged_pool=19856, nonpaged_pool=19184, pagefile=2056192, peak_pagefile=4894720, private=2056192)",,0.21994477535779178,csrss.exe,,"pctxsw(voluntary=74837, involuntary=0)",274,10,,404,388,running,[],,[]
,[],,0.0,"pcputimes(user=0.015625, system=0.015625, children_user=0.0, children_system=0.0)",1585037267.0,,,,,,"pmem(rss=1667072, vms=659456, num_page_faults=751, peak_wset=2850816, wset=1667072, peak_paged_pool=53584, paged_pool=53288, peak_nonpaged_pool=4976, nonpaged_pool=4976, pagefile=659456, peak_pagefile=696320, private=659456)",,0.03881939443652266,conhost.exe,,"pctxsw(voluntary=204, involuntary=0)",42,2,,428,3620,running,[],,[]
,[],,0.0,"pcputimes(user=0.015625, system=0.359375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=8175616, vms=1662976, num_page_faults=4939, peak_wset=11018240, wset=8175616, peak_paged_pool=127480, paged_pool=120376, peak_nonpaged_pool=12544, nonpaged_pool=7776, pagefile=1662976, peak_pagefile=3010560, private=1662976)",,0.19037717762972783,winlogon.exe,,"pctxsw(voluntary=636, involuntary=0)",154,2,,456,388,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49157), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49157), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.375, system=1.03125, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=5705728, vms=2658304, num_page_faults=3504, peak_wset=5828608, wset=5705728, peak_paged_pool=98640, paged_pool=92696, peak_nonpaged_pool=13328, nonpaged_pool=10224, pagefile=2658304, peak_pagefile=2826240, private=2658304)",,0.13286343108126797,services.exe,,"pctxsw(voluntary=3957, involuntary=0)",231,7,,488,396,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49158), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49158), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=3.078125, system=0.796875, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=11907072, vms=5521408, num_page_faults=4667, peak_wset=12222464, wset=11907072, peak_paged_pool=93272, paged_pool=93216, peak_nonpaged_pool=21312, nonpaged_pool=19072, pagefile=5521408, peak_pagefile=5853184, private=5521408)",,0.27726776321123187,lsass.exe,,"pctxsw(voluntary=14732, involuntary=0)",875,7,,496,396,running,[],,[]
