cmdline,connections,cpu_affinity,cpu_percent,cpu_times,create_time,cwd,environ,exe,ionice,memory_full_info,memory_info,memory_maps,memory_percent,name,nice,num_ctx_switches,num_handles,num_threads,open_files,pid,ppid,status,threads,username,_errors
[],"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.189', port=49254), raddr=addr(ip='96.7.251.170', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.189', port=49263), raddr=addr(ip='96.7.251.225', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.189', port=49256), raddr=addr(ip='96.7.251.225', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.189', port=49230), raddr=addr(ip='23.67.57.225', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.189', port=49269), raddr=addr(ip='96.7.251.225', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.189', port=49247), raddr=addr(ip='96.7.251.170', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.189', port=49266), raddr=addr(ip='96.7.251.225', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.189', port=49267), raddr=addr(ip='96.7.251.225', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.189', port=49268), raddr=addr(ip='96.7.251.225', port=80), status='TIME_WAIT')]",,0.0,"pcputimes(user=0.0, system=1633.703125, children_user=0.0, children_system=0.0)",1585035840.0,,{},,,,"pmem(rss=4096, vms=0, num_page_faults=1, peak_wset=4096, wset=4096, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=0, peak_pagefile=0, private=0)",,9.537934750988369e-05,System Idle Process,,"pctxsw(voluntary=336226, involuntary=0)",0,2,[],0,0,running,,NT AUTHORITY\SYSTEM,[]
[],"[pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=445), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.189', port=138), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.189', port=139), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.189', port=137), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=445), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=22.625, children_user=0.0, children_system=0.0)",1585035840.0,,{},,,,"pmem(rss=524288, vms=114688, num_page_faults=5065, peak_wset=1748992, wset=524288, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=114688, peak_pagefile=282624, private=114688)",,0.012208556481265112,System,,"pctxsw(voluntary=141882, involuntary=0)",725,94,[],4,0,running,[],NT AUTHORITY\SYSTEM,[]
,[],,0.0,"pcputimes(user=0.0, system=0.203125, children_user=0.0, children_system=0.0)",1583635729.0,,,,,,"pmem(rss=987136, vms=282624, num_page_faults=561, peak_wset=1028096, wset=987136, peak_paged_pool=55624, paged_pool=12416, peak_nonpaged_pool=6576, nonpaged_pool=2480, pagefile=282624, peak_pagefile=368640, private=282624)",,0.02298642274988197,smss.exe,,"pctxsw(voluntary=702, involuntary=0)",44,2,,244,4,running,[],,[]
,[],,0.0,"pcputimes(user=0.140625, system=0.328125, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=3874816, vms=1720320, num_page_faults=1548, peak_wset=3989504, wset=3874816, peak_paged_pool=148608, paged_pool=133776, peak_nonpaged_pool=14176, nonpaged_pool=11840, pagefile=1720320, peak_pagefile=1818624, private=1720320)",,0.09022886274434996,csrss.exe,,"pctxsw(voluntary=2931, involuntary=0)",266,9,,344,332,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49152), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49152), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=0.125, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=3702784, vms=790528, num_page_faults=1301, peak_wset=3756032, wset=3702784, peak_paged_pool=98688, paged_pool=97136, peak_nonpaged_pool=9584, nonpaged_pool=7792, pagefile=790528, peak_pagefile=1024000, private=790528)",,0.08622293014893485,wininit.exe,,"pctxsw(voluntary=371, involuntary=0)",73,1,,396,332,running,[],,[]
,[],,0.0,"pcputimes(user=0.265625, system=3.71875, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=8278016, vms=1970176, num_page_faults=31436, peak_wset=24866816, wset=8278016, peak_paged_pool=146376, paged_pool=131576, peak_nonpaged_pool=18160, nonpaged_pool=17008, pagefile=1970176, peak_pagefile=4894720, private=1970176)",,0.19276166131747494,csrss.exe,,"pctxsw(voluntary=29383, involuntary=0)",254,10,,404,388,running,[],,[]
,[],,0.0,"pcputimes(user=0.015625, system=0.359375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=8163328, vms=1662976, num_page_faults=4933, peak_wset=11018240, wset=8163328, peak_paged_pool=127480, paged_pool=120376, peak_nonpaged_pool=12544, nonpaged_pool=7776, pagefile=1662976, peak_pagefile=3010560, private=1662976)",,0.1900910395871982,winlogon.exe,,"pctxsw(voluntary=636, involuntary=0)",154,2,,456,388,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49157), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49157), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.234375, system=0.4375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=5529600, vms=2367488, num_page_faults=2796, peak_wset=5615616, wset=5529600, peak_paged_pool=93816, paged_pool=92696, peak_nonpaged_pool=13328, nonpaged_pool=9200, pagefile=2367488, peak_pagefile=2584576, private=2367488)",,0.12876211913834298,services.exe,,"pctxsw(voluntary=1985, involuntary=0)",203,3,,488,396,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49158), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49158), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.875, system=0.421875, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=10289152, vms=3977216, num_page_faults=3337, peak_wset=10309632, wset=10289152, peak_paged_pool=93256, paged_pool=93216, peak_nonpaged_pool=19328, nonpaged_pool=18944, pagefile=3977216, peak_pagefile=3977216, private=3977216)",,0.23959292094482784,lsass.exe,,"pctxsw(voluntary=8977, involuntary=0)",839,7,,496,396,running,[],,[]
,[],,0.0,"pcputimes(user=0.234375, system=0.296875, children_user=0.0, children_system=0.0)",1583635734.0,,,,,,"pmem(rss=11411456, vms=4284416, num_page_faults=5071, peak_wset=11669504, wset=11411456, peak_paged_pool=205768, paged_pool=204968, peak_nonpaged_pool=18208, nonpaged_pool=15280, pagefile=4284416, peak_pagefile=5976064, private=4284416)",,0.26572686216253594,svchost.exe,,"pctxsw(voluntary=3433, involuntary=0)",403,10,,560,488,running,[],,[]
