cmdline,connections,cpu_affinity,cpu_percent,cpu_times,create_time,cwd,environ,exe,ionice,memory_full_info,memory_info,memory_maps,memory_percent,name,nice,num_ctx_switches,num_handles,num_threads,open_files,pid,ppid,status,threads,username,_errors
[],[],,0.0,"pcputimes(user=0.0, system=1773.359375, children_user=0.0, children_system=0.0)",1585040955.0,,{},,,,"pmem(rss=4096, vms=0, num_page_faults=1, peak_wset=4096, wset=4096, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=0, peak_pagefile=0, private=0)",,9.537934750988369e-05,System Idle Process,,"pctxsw(voluntary=565466, involuntary=0)",0,2,[],0,0,running,,NT AUTHORITY\SYSTEM,[]
[],"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.193', port=139), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.193', port=138), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.193', port=137), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=445), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=445), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=29.625, children_user=0.0, children_system=0.0)",1585040955.0,,{},,,,"pmem(rss=540672, vms=114688, num_page_faults=5152, peak_wset=1748992, wset=540672, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=114688, peak_pagefile=282624, private=114688)",,0.012590073871304647,System,,"pctxsw(voluntary=192154, involuntary=0)",744,98,[],4,0,running,[],NT AUTHORITY\SYSTEM,[]
,[],,0.0,"pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0)",1585041978.0,,,,,,"pmem(rss=1007616, vms=217088, num_page_faults=301, peak_wset=1159168, wset=1007616, peak_paged_pool=17056, paged_pool=17056, peak_nonpaged_pool=3472, nonpaged_pool=3472, pagefile=217088, peak_pagefile=278528, private=217088)",,0.023463319487431387,MpCmdRun.exe,,"pctxsw(voluntary=3, involuntary=0)",4,1,,160,808,running,[],,[]
,[],,0.0,"pcputimes(user=0.0, system=0.203125, children_user=0.0, children_system=0.0)",1583635729.0,,,,,,"pmem(rss=987136, vms=282624, num_page_faults=561, peak_wset=1028096, wset=987136, peak_paged_pool=55624, paged_pool=12416, peak_nonpaged_pool=6576, nonpaged_pool=2480, pagefile=282624, peak_pagefile=368640, private=282624)",,0.02298642274988197,smss.exe,,"pctxsw(voluntary=702, involuntary=0)",44,2,,244,4,running,[],,[]
,[],,0.0,"pcputimes(user=0.25, system=0.390625, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=3997696, vms=1773568, num_page_faults=1659, peak_wset=4005888, wset=3997696, peak_paged_pool=149288, paged_pool=149264, peak_nonpaged_pool=15328, nonpaged_pool=14784, pagefile=1773568, peak_pagefile=1826816, private=1773568)",,0.09309024316964648,csrss.exe,,"pctxsw(voluntary=3262, involuntary=0)",379,9,,344,332,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49152), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49152), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=0.125, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=3702784, vms=790528, num_page_faults=1301, peak_wset=3756032, wset=3702784, peak_paged_pool=98688, paged_pool=97136, peak_nonpaged_pool=9584, nonpaged_pool=7792, pagefile=790528, peak_pagefile=1024000, private=790528)",,0.08622293014893485,wininit.exe,,"pctxsw(voluntary=371, involuntary=0)",73,1,,396,332,running,[],,[]
,[],,0.0,"pcputimes(user=0.46875, system=4.359375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=8708096, vms=1904640, num_page_faults=31490, peak_wset=24866816, wset=8708096, peak_paged_pool=146376, paged_pool=134088, peak_nonpaged_pool=18160, nonpaged_pool=17776, pagefile=1904640, peak_pagefile=4894720, private=1904640)",,0.2027764928060127,csrss.exe,,"pctxsw(voluntary=63152, involuntary=0)",259,10,,404,388,running,[],,[]
,[],,0.0,"pcputimes(user=0.015625, system=0.359375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=8163328, vms=1662976, num_page_faults=4933, peak_wset=11018240, wset=8163328, peak_paged_pool=127480, paged_pool=120376, peak_nonpaged_pool=12544, nonpaged_pool=7776, pagefile=1662976, peak_pagefile=3010560, private=1662976)",,0.1900910395871982,winlogon.exe,,"pctxsw(voluntary=636, involuntary=0)",154,2,,456,388,running,[],,[]
,[],,0.0,"pcputimes(user=0.15625, system=0.34375, children_user=0.0, children_system=0.0)",1585041994.0,,,,,,"pmem(rss=4497408, vms=1449984, num_page_faults=1164, peak_wset=4497408, wset=4497408, peak_paged_pool=57696, paged_pool=57680, peak_nonpaged_pool=7280, nonpaged_pool=7280, pagefile=1449984, peak_pagefile=1449984, private=1449984)",,0.10472652356585228,TrustedInstaller.exe,,"pctxsw(voluntary=141, involuntary=0)",89,6,,472,488,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49157), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49157), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.28125, system=0.625, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=5554176, vms=2420736, num_page_faults=2828, peak_wset=5636096, wset=5554176, peak_paged_pool=93816, paged_pool=92792, peak_nonpaged_pool=13328, nonpaged_pool=9584, pagefile=2420736, peak_pagefile=2637824, private=2420736)",,0.12933439522340226,services.exe,,"pctxsw(voluntary=4875, involuntary=0)",212,4,,488,396,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49158), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49158), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=1.546875, system=0.59375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=10821632, vms=4468736, num_page_faults=3627, peak_wset=10903552, wset=10821632, peak_paged_pool=93712, paged_pool=93216, peak_nonpaged_pool=19968, nonpaged_pool=18816, pagefile=4468736, peak_pagefile=4698112, private=4468736)",,0.2519922361211127,lsass.exe,,"pctxsw(voluntary=10778, involuntary=0)",804,6,,496,396,running,[],,[]
,[],,0.0,"pcputimes(user=0.0625, system=0.015625, children_user=0.0, children_system=0.0)",1585041978.0,,,,,,"pmem(rss=4931584, vms=1581056, num_page_faults=1285, peak_wset=4931584, wset=4931584, peak_paged_pool=63624, paged_pool=62504, peak_nonpaged_pool=7536, nonpaged_pool=7536, pagefile=1581056, peak_pagefile=1581056, private=1581056)",,0.11483673440189997,taskhostex.exe,,"pctxsw(voluntary=1596, involuntary=0)",83,5,,548,808,running,[],,[]
