cmdline,connections,cpu_affinity,cpu_percent,cpu_times,create_time,cwd,environ,exe,ionice,memory_full_info,memory_info,memory_maps,memory_percent,name,nice,num_ctx_switches,num_handles,num_threads,open_files,pid,ppid,status,threads,username,_errors
[],"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.170', port=49218), raddr=addr(ip='96.17.229.128', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.170', port=49215), raddr=addr(ip='23.77.48.95', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.170', port=49223), raddr=addr(ip='23.57.113.233', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.193', port=49227), raddr=addr(ip='23.48.201.10', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.170', port=49220), raddr=addr(ip='23.199.76.71', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.170', port=49217), raddr=addr(ip='23.77.52.189', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.170', port=49219), raddr=addr(ip='23.57.112.17', port=80), status='TIME_WAIT'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.170', port=49216), raddr=addr(ip='23.77.48.95', port=80), status='TIME_WAIT')]",,0.0,"pcputimes(user=0.0, system=1281.546875, children_user=0.0, children_system=0.0)",1585040955.0,,{},,,,"pmem(rss=4096, vms=0, num_page_faults=1, peak_wset=4096, wset=4096, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=0, peak_pagefile=0, private=0)",,9.537934750988369e-05,System Idle Process,,"pctxsw(voluntary=263882, involuntary=0)",0,2,[],0,0,running,,NT AUTHORITY\SYSTEM,[]
[],"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.193', port=138), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.193', port=139), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=445), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.193', port=137), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=445), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=19.875, children_user=0.0, children_system=0.0)",1585040955.0,,{},,,,"pmem(rss=520192, vms=114688, num_page_faults=5064, peak_wset=1748992, wset=520192, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=114688, peak_pagefile=282624, private=114688)",,0.012113177133755228,System,,"pctxsw(voluntary=109499, involuntary=0)",734,99,[],4,0,running,[],NT AUTHORITY\SYSTEM,[]
,[],,0.0,"pcputimes(user=0.0, system=0.203125, children_user=0.0, children_system=0.0)",1583635729.0,,,,,,"pmem(rss=987136, vms=282624, num_page_faults=561, peak_wset=1028096, wset=987136, peak_paged_pool=55624, paged_pool=12416, peak_nonpaged_pool=6576, nonpaged_pool=2480, pagefile=282624, peak_pagefile=368640, private=282624)",,0.02298642274988197,smss.exe,,"pctxsw(voluntary=702, involuntary=0)",44,2,,244,4,running,[],,[]
,[],,0.0,"pcputimes(user=0.140625, system=0.34375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=3973120, vms=1826816, num_page_faults=1536, peak_wset=3993600, wset=3973120, peak_paged_pool=148864, paged_pool=143360, peak_nonpaged_pool=14432, nonpaged_pool=13120, pagefile=1826816, peak_pagefile=1826816, private=1826816)",,0.09251796708458718,csrss.exe,,"pctxsw(voluntary=2625, involuntary=0)",314,10,,344,332,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49152), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49152), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=0.125, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=3702784, vms=790528, num_page_faults=1301, peak_wset=3756032, wset=3702784, peak_paged_pool=98688, paged_pool=97136, peak_nonpaged_pool=9584, nonpaged_pool=7792, pagefile=790528, peak_pagefile=1024000, private=790528)",,0.08622293014893485,wininit.exe,,"pctxsw(voluntary=371, involuntary=0)",73,1,,396,332,running,[],,[]
,[],,0.0,"pcputimes(user=0.390625, system=2.84375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=10162176, vms=1908736, num_page_faults=31181, peak_wset=24866816, wset=10162176, peak_paged_pool=146376, paged_pool=122856, peak_nonpaged_pool=18160, nonpaged_pool=16368, pagefile=1908736, peak_pagefile=4894720, private=1908736)",,0.23663616117202144,csrss.exe,,"pctxsw(voluntary=24831, involuntary=0)",219,11,,404,388,running,[],,[]
,[],,0.0,"pcputimes(user=0.015625, system=0.359375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=8163328, vms=1662976, num_page_faults=4933, peak_wset=11018240, wset=8163328, peak_paged_pool=127480, paged_pool=120376, peak_nonpaged_pool=12544, nonpaged_pool=7776, pagefile=1662976, peak_pagefile=3010560, private=1662976)",,0.1900910395871982,winlogon.exe,,"pctxsw(voluntary=636, involuntary=0)",154,2,,456,388,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49157), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49157), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.25, system=0.453125, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=5615616, vms=2584576, num_page_faults=2742, peak_wset=5615616, wset=5615616, peak_paged_pool=93816, paged_pool=92888, peak_nonpaged_pool=13328, nonpaged_pool=10480, pagefile=2584576, peak_pagefile=2584576, private=2584576)",,0.13076508543605053,services.exe,,"pctxsw(voluntary=7205, involuntary=0)",235,7,,488,396,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49158), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49158), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.5625, system=0.34375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=9904128, vms=3715072, num_page_faults=3082, peak_wset=9912320, wset=9904128, peak_paged_pool=89584, paged_pool=89568, peak_nonpaged_pool=19328, nonpaged_pool=18688, pagefile=3715072, peak_pagefile=3768320, private=3715072)",,0.23062726227889874,lsass.exe,,"pctxsw(voluntary=9136, involuntary=0)",728,6,,496,396,running,[],,[]
,[],,0.0,"pcputimes(user=0.21875, system=0.296875, children_user=0.0, children_system=0.0)",1583635734.0,,,,,,"pmem(rss=11407360, vms=4448256, num_page_faults=5102, peak_wset=11575296, wset=11407360, peak_paged_pool=205736, paged_pool=205576, peak_nonpaged_pool=18208, nonpaged_pool=16560, pagefile=4448256, peak_pagefile=5976064, private=4448256)",,0.2656314828150261,svchost.exe,,"pctxsw(voluntary=3829, involuntary=0)",429,15,,560,488,running,[],,[]
