cmdline,connections,cpu_affinity,cpu_percent,cpu_times,create_time,cwd,environ,exe,ionice,memory_full_info,memory_info,memory_maps,memory_percent,name,nice,num_ctx_switches,num_handles,num_threads,open_files,pid,ppid,status,threads,username,_errors
[],[],,0.0,"pcputimes(user=0.0, system=1773.359375, children_user=0.0, children_system=0.0)",1585040956.0,,{},,,,"pmem(rss=4096, vms=0, num_page_faults=1, peak_wset=4096, wset=4096, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=0, peak_pagefile=0, private=0)",,9.537934750988369e-05,System Idle Process,,"pctxsw(voluntary=565621, involuntary=0)",0,2,[],0,0,running,,NT AUTHORITY\SYSTEM,[]
[],"[pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='192.168.177.193', port=139), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.193', port=138), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=2, laddr=addr(ip='192.168.177.193', port=137), raddr=(), status='NONE'), pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=445), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=445), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=31.9375, children_user=0.0, children_system=0.0)",1585040956.0,,{},,,,"pmem(rss=552960, vms=114688, num_page_faults=20073, peak_wset=1748992, wset=552960, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=114688, peak_pagefile=282624, private=114688)",,0.012876211913834297,System,,"pctxsw(voluntary=211891, involuntary=0)",793,98,[],4,0,running,[],NT AUTHORITY\SYSTEM,[]
,[],,0.0,"pcputimes(user=0.0, system=0.078125, children_user=0.0, children_system=0.0)",1585041978.0,,,,,,"pmem(rss=3624960, vms=1511424, num_page_faults=1025, peak_wset=3776512, wset=3624960, peak_paged_pool=55496, paged_pool=55320, peak_nonpaged_pool=6512, nonpaged_pool=6384, pagefile=1511424, peak_pagefile=1511424, private=1511424)",,0.08441072254624706,MpCmdRun.exe,,"pctxsw(voluntary=33, involuntary=0)",81,3,,160,808,running,[],,[]
,[],,0.0,"pcputimes(user=0.0, system=0.203125, children_user=0.0, children_system=0.0)",1583635729.0,,,,,,"pmem(rss=987136, vms=282624, num_page_faults=561, peak_wset=1028096, wset=987136, peak_paged_pool=55624, paged_pool=12416, peak_nonpaged_pool=6576, nonpaged_pool=2480, pagefile=282624, peak_pagefile=368640, private=282624)",,0.02298642274988197,smss.exe,,"pctxsw(voluntary=702, involuntary=0)",44,2,,244,4,running,[],,[]
,[],,0.0,"pcputimes(user=0.296875, system=0.4375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=4063232, vms=1826816, num_page_faults=1790, peak_wset=4161536, wset=4063232, peak_paged_pool=154912, paged_pool=147984, peak_nonpaged_pool=16480, nonpaged_pool=14400, pagefile=1826816, peak_pagefile=1921024, private=1826816)",,0.09461631272980461,csrss.exe,,"pctxsw(voluntary=3907, involuntary=0)",409,9,,344,332,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49152), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49152), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.0, system=0.125, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=3715072, vms=790528, num_page_faults=1304, peak_wset=3756032, wset=3715072, peak_paged_pool=98688, paged_pool=97136, peak_nonpaged_pool=9584, nonpaged_pool=7792, pagefile=790528, peak_pagefile=1024000, private=790528)",,0.08650906819146449,wininit.exe,,"pctxsw(voluntary=371, involuntary=0)",73,1,,396,332,running,[],,[]
,[],,0.0,"pcputimes(user=0.46875, system=4.703125, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=8704000, vms=1904640, num_page_faults=31496, peak_wset=24866816, wset=8704000, peak_paged_pool=146376, paged_pool=133192, peak_nonpaged_pool=18160, nonpaged_pool=17776, pagefile=1904640, peak_pagefile=4894720, private=1904640)",,0.20268111345850284,csrss.exe,,"pctxsw(voluntary=68402, involuntary=0)",261,10,,404,388,running,[],,[]
,[],,0.0,"pcputimes(user=0.015625, system=0.359375, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=8175616, vms=1662976, num_page_faults=4936, peak_wset=11018240, wset=8175616, peak_paged_pool=127480, paged_pool=120376, peak_nonpaged_pool=12544, nonpaged_pool=7776, pagefile=1662976, peak_pagefile=3010560, private=1662976)",,0.19037717762972783,winlogon.exe,,"pctxsw(voluntary=636, involuntary=0)",154,2,,456,388,running,[],,[]
,[],,0.0,"pcputimes(user=0.15625, system=0.359375, children_user=0.0, children_system=0.0)",1585041994.0,,,,,,"pmem(rss=4943872, vms=1667072, num_page_faults=1276, peak_wset=4943872, wset=4943872, peak_paged_pool=58752, paged_pool=58752, peak_nonpaged_pool=8432, nonpaged_pool=8432, pagefile=1667072, peak_pagefile=1667072, private=1667072)",,0.1151228724444296,TrustedInstaller.exe,,"pctxsw(voluntary=193, involuntary=0)",110,7,,472,488,running,[],,[]
,"[pconn(fd=-1, family=<AddressFamily.AF_INET6: 23>, type=1, laddr=addr(ip='::', port=49157), raddr=(), status='LISTEN'), pconn(fd=-1, family=<AddressFamily.AF_INET: 2>, type=1, laddr=addr(ip='0.0.0.0', port=49157), raddr=(), status='LISTEN')]",,0.0,"pcputimes(user=0.390625, system=0.90625, children_user=0.0, children_system=0.0)",1583635733.0,,,,,,"pmem(rss=5648384, vms=2551808, num_page_faults=3741, peak_wset=5771264, wset=5648384, peak_paged_pool=105168, paged_pool=92792, peak_nonpaged_pool=13328, nonpaged_pool=9840, pagefile=2551808, peak_pagefile=2719744, private=2551808)",,0.13152812021612958,services.exe,,"pctxsw(voluntary=8809, involuntary=0)",222,5,,488,396,running,[],,[]
